id|producto|costo|codigo de barras|catidad|costo de compra|marca|
1|bubulubu  35g|9|7432354|0|9||
2|leche nesquik chocolate 240ml|8|75000011|0|0|nesquik|
3|jugo boing mango chico 250ml|6|75001759|0|0|del valle|
4|jugo boing fresa chico 250ml|6|75001766|0|0|del valle|
5|jugo boing guayaba chico 250ml|6|75001773|0|0|del valle|
6|gerber pera 113gr|11|75001834|0|0|nestle|
7|chocorroles pi�a 100g|15|75002275|0|11,25|marinela|
8|gerber durazno 113gr|11|75003371|0|0|nestle|
9|sabritas adobadas 45g|12|75003388|0|0||
10|gerber manzana 113g|11|75003401|0|0||
11|gerber ciruela pasa 113gr|11|75003425|0|0|nestle|
12|gerber frutas tropicales 113gr|11|75003456|0|0|nestle|
13|gerber frutas mixtas 113gr|11|75003463|0|0|nestle|
14|gerber mango 113gr|11|75003487|0|0|nestle|
15|coca-cola 600ml|13|75007614|0|11,5|coca-cola|
16|coca-cola 500ml|10|75009809|0|9,75|coca-cola|
17|clorets 4 pastillas|2|75019907|0|0||
18|catsup del monte 320gr|13|75053901|0|0|del monte|
19|kinder maxi 21g|8|80050094|0|0||
20|kinder 12,5g|4|80050315|0|0||
21|huevo kinder ni�a(o) 20g|20|80051121|0|0||
22|huevo kinder animalitos 20g|20|80051831|0|0||
23|kinder bueno 43g|20|80052760|0|0||
24|huevo kinder dora 20g|20|80892816|0|0||
25|chicharron salda�a|8|3805565154|0|0||
26|clamato 473ml|18|14800515329|0|0||
27|sal la fina 1kg|12|34587030013|0|0|la fina|
28|gatorade naranja  350ml|10|36731103512|0|0||
29|gatorade lima/limon  350ml|10|36731103536|0|0||
30|gatorade naranja 600ml|21|36731106018|0|0|gatorade|
31|gatorade lima-limon 600ml|21|36731106032|0|0|gatorade|
32|gatorade uva  600ml|21|36731106049|0|0||
33|gatorade ponche de frutas 600ml|21|36731106063|0|0|gatorade|
34|gatorade blue thunder 600ml|21|36731136916|0|0|gatorade|
35|gatorade naranja 1lt|26|36731321008|0|0|gatorade|
36|gatorade limonada 1lt|26|36731322005|0|0|gatorade|
37|gatorade ponche de frutas 1lt|24|36731326003|0|0|gatorade|
38|gatorade fresandia 1lt|26|36731328007|0|0|gatorade|
39|agua skarch 1l|6|40232838699|0|0|skarch|
40|titan mandarina 3lts|25|40232886652|0|0|titan|
41|titan pi�a 3 lts|25|40232886669|0|0|titan|
42|titan manzana 3lts |25|40232886676|0|0|titan|
43|titan tuti-fruti 2lt|20|40232886690|0|0|titan|
44|titan limon 2lt|20|40232886713|0|0|titan|
45|titan mandarina 2lt|20|40232886720|0|0|titan|
46|titan pi�a 2lt|20|40232886737|0|0|titan|
47|titan tamarindo 600ml|10|40232886751|0|0|titan|
48|titan tuti-fruti 600ml|10|40232886768|0|0|titan|
49|titan limon 600ml|10|40232886782|0|0|titan|
50|titan pi�a 600ml|10|40232886805|0|0|titan|
51|titan manzana 600ml|10|40232886812|0|0|titan|
52|maruchan cama/limonyhaba|10|41789001864|0|0|maruchan|
53|maruchan res |10|41789001925|0|0|maruchan|
54|maruchan camaron |10|41789001956|0|0|maruchan|
55|maruchan cama/chilepiqui|10|41789001987|0|0|maruchan|
56|cajeta quemada coronado 370gr|36|74323083651|0|0|coronado|
57|jack daniels aple |30|82184000984|0|0|jack daniels|
58|jack daniel ginger|30|82184038338|0|0|jack daniels|
59|tecate original laton 473ml|17|89826001415|0|0|tecate|
60|valentina amarilla 370ml|10|97339000054|0|0|valentina|
61|valentina negra 370ml|10|97339000061|0|0|valentina|
62|skarch 10L |26|606110023924|0|21,3|skarch|
63|red-cola 355ml|6|606110024006|0|0|red-cola|
64|arizona mucho mango 680ml|13|613008738808|0|0|arizona|
65|arizona kiwi con fresa 680ml|13|613008738822|0|0|arizona|
66|arizona sandia 680ml|13|613008738846|0|0|arizona|
67|arizona ponche de frutas 680ml|13|613008738860|0|0|arizona|
68|arizona te verde 680ml|13|613008738884|0|0||
69|totis palitos chile y lim�n 25g|6|643795549271|0|0|de la coste�a|
70|sky arandano|20|721059712750|0|0|sky|
71|skyblue granada|20|721059722759|0|0|sky|
72|gelatina dgari cereza 120gr|8|735257002445|0|0|dgari|
73|gelatina dgari pi�a 120gr|8|735257002469|0|0|dgari|
74|gelatina dgari naranja 120gr|8|735257002476|0|0|dgari|
75|gelatina dgari jerez 120gr|8|735257002506|0|0|dgari|
76|gelatina dgari frambuesa 120gr|8|735257002520|0|0|dgari|
77|gelatina dgari durazno 120g|8|735257002537|0|0|dgari|
78|gelatina dgari anis 120gr|8|735257002575|0|0|dgari|
79|gelatina dgari mango 120gr|8|735257002582|0|0|dgari|
80|gelatina dgari rompope 120gr|8|735257002629|0|0|dgari|
81|d`gari vainilla gelatina 120g|9|735257002636|0|0|dgari|
82|d`gari chocolate 120g|9|735257002650|0|0|dgari|
83|gelatina dgari nuez 120gr|8|735257002667|0|0|dgari|
84|flan vainilla 140g|8|735257005019|0|0|dgari|
85|salsa la botanera 956ml|20|738545010016|0|0|la botanera|
86|esponja multiusos fibra|10|741120000296|0|0||
87|new mix vampiro |18|744607588805|0|0|el jimador|
88|skyblue citrus |20|744607696012|0|0|sky|
89|new mix paloma |18|744607840804|0|0|el jimador|
90|sidral aga 2lt |19|744886193059|0|0|aga|
91|zubba 600ml|9|744886225231|0|0|zubba|
92|zubba 2lts |19|744886522057|0|0|zubba|
93|charroncitos charras|12|756702134108|0|0||
94|chips queso jalape�o 60g|9|756702134344|0|0|barcel|
95|hot nuts fuego|10|757528001742|0|0||
96|chips fuego 170g|35|757528001889|0|0|barcel|
97|golden nuts pepitas 28g|11|757528020897|0|0||
98|chips chipotle 46g|12|757528024932|0|0|barcel|
99|panditas enchilados|10|757528028527|0|0|ricolino|
100|chocoretas|10|757528029586|0|0|ricolino|
101|gomilocas dulcigomas|10|757528029593|0|0|ricolino|
102|gomilocas dientes|10|757528029609|0|0|ricolino|
103|gomilocas hamburguesas|10|757528029616|0|0|ricolino|
104|gomilocas ping�inos|10|757528029623|0|0|ricolino|
105|kranky|10|757528029630|0|0|ricolino|
106|moritas ricolino|10|757528029647|0|0|ricolino|
107|panditas clasicas|10|757528029654|0|0|ricolino|
